2026-07-09T11:38:45.078212377Z [inf]  Starting Container
2026-07-09T11:38:52.451939298Z [err]  2026-07-09 11:38:52,450 INFO Saved: Handle OAuth Authentication using API Gateway Pre-request Configuration
2026-07-09T11:38:52.461853244Z [err]  2026-07-09 11:38:52,460 INFO Saved: Tagging in OptiSigns
2026-07-09T11:38:52.467757265Z [err]  2026-07-09 11:38:52,465 INFO Saved: Getting Started with an OptiSigns Free Trial
2026-07-09T11:38:52.473498679Z [err]  2026-07-09 11:38:52,471 INFO Saved: How to Use OptiSigns with Microsoft Teams Rooms
2026-07-09T11:38:52.479152834Z [err]  2026-07-09 11:38:52,478 INFO Saved: How to access the Troubleshooting page of the OptiSigns Player
2026-07-09T11:38:52.484911038Z [err]  2026-07-09 11:38:52,482 INFO Saved: How to Using SEPA and iDEAL for EUR Currency Subscription Payments
2026-07-09T11:38:52.545303100Z [err]  2026-07-09 11:38:52,535 INFO Saved: How to Install a Root Certificate and Display an Internal Website on Screens
2026-07-09T11:38:52.545308540Z [err]  2026-07-09 11:38:52,539 INFO Saved: Accepted Payment Methods
2026-07-09T11:38:52.546818083Z [err]  2026-07-09 11:38:52,546 INFO Saved: What Do I Get With an OptiSigns Free Plan?
2026-07-09T11:38:52.570067985Z [err]  2026-07-09 11:38:52,560 INFO Saved: Making a Video Wall with OptiSigns (Video Wall App)
2026-07-09T11:38:52.570073324Z [err]  2026-07-09 11:38:52,567 INFO Saved: How to Set Up a Power BI Service Principal for Use in OptiSigns
2026-07-09T11:38:52.576147484Z [err]  2026-07-09 11:38:52,572 INFO Saved: Display Salesforce Dashboards with MFA using Web Scripting
2026-07-09T11:38:52.577230782Z [err]  2026-07-09 11:38:52,576 INFO Saved: How to Order a Preconfigured OptiSigns Android Player Device
2026-07-09T11:38:52.600856859Z [err]  2026-07-09 11:38:52,590 INFO Saved: Integrating Point-of-Sale (POS) Systems to Build Digital Menu Boards with OptiSync
2026-07-09T11:38:52.600860009Z [err]  2026-07-09 11:38:52,593 INFO Saved: Configuring Mass Deployment with Jamf Pro MDM on Apple Devices
2026-07-09T11:38:52.609026304Z [err]  2026-07-09 11:38:52,606 INFO Saved: Getting Started with Touch Screen Kiosks
2026-07-09T11:38:52.615099064Z [err]  2026-07-09 11:38:52,610 INFO Saved: How to use Toast API data with OptiSigns
2026-07-09T11:38:52.621458581Z [err]  2026-07-09 11:38:52,619 INFO Saved: Enabling Lock Down Mode on Touch Screen Devices
2026-07-09T11:38:52.628173703Z [err]  2026-07-09 11:38:52,623 INFO Saved: How to Use the Mobile App for Remote Control
2026-07-09T11:38:52.633616740Z [err]  2026-07-09 11:38:52,631 INFO Saved: Guide for Creating Content with OptiSigns
2026-07-09T11:38:52.642013143Z [err]  2026-07-09 11:38:52,639 INFO Saved: List of Supported Cities for Weather Wall City Themes
2026-07-09T11:38:52.647717198Z [err]  2026-07-09 11:38:52,643 INFO Saved: How to Clear Cache on a BrightSign Player
2026-07-09T11:38:52.653772597Z [err]  2026-07-09 11:38:52,650 INFO Saved: How to Create an Attract Screen for Your Kiosk
2026-07-09T11:38:52.671453283Z [err]  2026-07-09 11:38:52,667 INFO Saved: How to Set Up Dynamic Data Mapping with OptiSync
2026-07-09T11:38:52.677991859Z [err]  2026-07-09 11:38:52,676 INFO Saved: How To Create and Use Operational Schedules (HDMI-CEC, RS-232)
2026-07-09T11:38:52.680131014Z [err]  2026-07-09 11:38:52,678 INFO Saved: Performance/Stability issues on Android devices and Best Practices
2026-07-09T11:38:52.686670578Z [err]  2026-07-09 11:38:52,681 INFO Saved: Samsung Tizen TVs Troubleshooting Guide
2026-07-09T11:38:52.686682398Z [err]  2026-07-09 11:38:52,684 INFO Saved: Roku Troubleshooting guide
2026-07-09T11:38:52.927459647Z [err]  2026-07-09 11:38:52,770 INFO Saved: How to Integrate API and Publish API Data via OptiSync
2026-07-09T11:38:52.927468467Z [err]  2026-07-09 11:38:52,694 INFO Saved: How to Create & Use Playlists
2026-07-09T11:38:52.927494407Z [err]  2026-07-09 11:38:52,698 INFO Saved: How to Use QR Overlay App in Engage
2026-07-09T11:38:52.927500777Z [err]  2026-07-09 11:38:52,700 INFO Saved: How to Change Close & Nav Bar Styler Preferences
2026-07-09T11:38:52.927504017Z [err]  2026-07-09 11:38:52,728 INFO Saved: How to Lockdown iPad/Single App with Guided Accessibility
2026-07-09T11:38:52.927512717Z [err]  2026-07-09 11:38:52,730 INFO Saved: How to add a QR Code in designs using OptiSigns’ Designer
2026-07-09T11:38:52.927516506Z [err]  2026-07-09 11:38:52,735 INFO Saved: What Are Feeds and How to Use It
2026-07-09T11:38:52.927524456Z [err]  2026-07-09 11:38:52,737 INFO Saved: How to get Google Review link
2026-07-09T11:38:52.927528636Z [err]  2026-07-09 11:38:52,706 INFO Saved: AI Camera App - Quick Start
2026-07-09T11:38:52.927531166Z [err]  2026-07-09 11:38:52,745 INFO Saved: How to use Check-in app with SMS follow up
2026-07-09T11:38:52.927535546Z [err]  2026-07-09 11:38:52,709 INFO Saved: Amazon TV / FireStick Troubleshooting Guide
2026-07-09T11:38:52.927539346Z [err]  2026-07-09 11:38:52,748 INFO Saved: Engage Plan - FAQs
2026-07-09T11:38:52.927543226Z [err]  2026-07-09 11:38:52,714 INFO Saved: Move Screens or Devices from One Account to Another
2026-07-09T11:38:52.927546336Z [err]  2026-07-09 11:38:52,751 INFO Saved: How to enable auto-start on FireOS 8 devices like Amazon Fire TV Stick 4K Gen 2 (2023 model)
2026-07-09T11:38:52.927551406Z [err]  2026-07-09 11:38:52,720 INFO Saved: How to use iCloud Calendar with OptiSigns
2026-07-09T11:38:52.927554216Z [err]  2026-07-09 11:38:52,757 INFO Saved: How to setup AeriCast Meet (Wireless Video Conferencing)
2026-07-09T11:38:52.927558236Z [err]  2026-07-09 11:38:52,725 INFO Saved: OptiStick
2026-07-09T11:38:52.928233738Z [err]  2026-07-09 11:38:52,809 INFO Saved: Push Contents to your Screens
2026-07-09T11:38:52.928240328Z [err]  2026-07-09 11:38:52,817 INFO Saved: OptiSigns - Getting Started Guide
2026-07-09T11:38:52.928244998Z [err]  2026-07-09 11:38:52,819 INFO Saved: How to keep OptiSigns running on Fire Stick
2026-07-09T11:38:52.928249748Z [err]  2026-07-09 11:38:52,821 INFO Saved: How to Customize the Thumbnail of Files, Assets, and Folders
2026-07-09T11:38:52.928254419Z [err]  2026-07-09 11:38:52,824 INFO Saved: How to Configure Multi-Factor Authentication with your OptiSigns account.
2026-07-09T11:38:52.928258989Z [err]  2026-07-09 11:38:52,827 INFO Saved: Samsung Smart Signage Platform (SSSP) Supported Model List
2026-07-09T11:38:52.928292418Z [err]  2026-07-09 11:38:52,775 INFO Saved: Advanced Playlist Item Playback Control & Campaign Management
2026-07-09T11:38:52.928295888Z [err]  2026-07-09 11:38:52,780 INFO Saved: How to Share Playlist and Folder with External Users
2026-07-09T11:38:52.928299418Z [err]  2026-07-09 11:38:52,786 INFO Saved: How to Use Content Tags in The Playlist
2026-07-09T11:38:52.928302768Z [err]  2026-07-09 11:38:52,788 INFO Saved: Your Facebook Page Doesn't Show in The Dropdown List
2026-07-09T11:38:52.928305808Z [err]  2026-07-09 11:38:52,790 INFO Saved: How to Use Coordinate-Based Positioning and Sizing of Elements in OptiSigns' Designer
2026-07-09T11:38:52.928309228Z [err]  2026-07-09 11:38:52,794 INFO Saved: Navigating Through OptiSigns' Template Library
2026-07-09T11:38:52.928314708Z [err]  2026-07-09 11:38:52,795 INFO Saved: External Storage on OptiSigns Devices
2026-07-09T11:38:52.928319438Z [err]  2026-07-09 11:38:52,798 INFO Saved: How to Control and Schedule Playlist Items
2026-07-09T11:38:52.928324418Z [err]  2026-07-09 11:38:52,800 INFO Saved: How to use Secured Dashboard App
2026-07-09T11:38:52.928328328Z [err]  2026-07-09 11:38:52,804 INFO Saved: How to use Yammer app on OptiSigns
2026-07-09T11:38:52.930465163Z [err]  2026-07-09 11:38:52,835 INFO Saved: How to Create a Content Library Kiosk
2026-07-09T11:38:52.930467923Z [err]  2026-07-09 11:38:52,838 INFO Saved: Event logging and analytics for External Communication(RS-232)
2026-07-09T11:38:52.930470613Z [err]  2026-07-09 11:38:52,839 INFO Saved: Display PowerPoint/Google Slides in whole screen when casting from MacBook Pro
2026-07-09T11:38:52.930473203Z [err]  2026-07-09 11:38:52,841 INFO Saved: How to use Streaming App with OptiSigns
2026-07-09T11:38:52.930475673Z [err]  2026-07-09 11:38:52,843 INFO Saved: Silent Installation process for OptiSigns Player on Windows
2026-07-09T11:38:52.930479253Z [err]  2026-07-09 11:38:52,844 INFO Saved: The OptiSigns app keeps turning on the TV screen
2026-07-09T11:38:52.930482073Z [err]  2026-07-09 11:38:52,852 INFO Saved: How to Design Kiosk Apps Using Kiosk Designer Pro
2026-07-09T11:38:52.930484773Z [err]  2026-07-09 11:38:52,854 INFO Saved: Cannot find the OptiSigns app on Your Samsung Smart TV
2026-07-09T11:38:52.930487263Z [err]  2026-07-09 11:38:52,857 INFO Saved: Build Integration Using OptiSigns Enterprise App
2026-07-09T11:38:52.930490063Z [err]  2026-07-09 11:38:52,871 INFO Saved: OptiSigns IoT Sensor Add-on - Quick Start
2026-07-09T11:38:52.930492753Z [err]  2026-07-09 11:38:52,872 INFO Saved: Show/Hide downloading status on your Player
2026-07-09T11:38:52.930495403Z [err]  2026-07-09 11:38:52,873 INFO Saved: What if the OptiSigns app does not auto-start on an Android TV?
2026-07-09T11:38:52.930498103Z [err]  2026-07-09 11:38:52,876 INFO Saved: How to put Live TV on your screens with OptiSigns
2026-07-09T11:38:52.930500533Z [err]  2026-07-09 11:38:52,878 INFO Saved: Data Residency and OptiSigns
2026-07-09T11:38:52.930503213Z [err]  2026-07-09 11:38:52,881 INFO Saved: Using RS-232 to Schedule TV Power On/Off or other commands
2026-07-09T11:38:52.930505743Z [err]  2026-07-09 11:38:52,884 INFO Saved: How to get the MAC Address on your media player
2026-07-09T11:38:52.933419728Z [err]  2026-07-09 11:38:52,885 INFO Saved: How to hide certain templates categories in Designers
2026-07-09T11:38:52.933425758Z [err]  2026-07-09 11:38:52,887 INFO Saved: Host your HTML/JS or Create your own Web App with Hosted Website
2026-07-09T11:38:52.933431218Z [err]  2026-07-09 11:38:52,888 INFO Saved: Using eyedrop feature to select color in Designer app
2026-07-09T11:38:52.933435798Z [err]  2026-07-09 11:38:52,890 INFO Saved: Apple TV player release notes & limitations
2026-07-09T11:38:52.933440408Z [err]  2026-07-09 11:38:52,891 INFO Saved: How to organize templates and share across teams 
2026-07-09T11:38:52.933480259Z [err]  2026-07-09 11:38:52,904 INFO Saved: Synchronized playback (Sync Play) feature
2026-07-09T11:38:52.933486578Z [err]  2026-07-09 11:38:52,893 INFO Saved: Manually control playlist playback with OptiSigns
2026-07-09T11:38:52.933487868Z [err]  2026-07-09 11:38:52,905 INFO Saved: Clean install OptiSigns on Raspberry Pi/Linux
2026-07-09T11:38:52.933493628Z [err]  2026-07-09 11:38:52,906 INFO Saved: How to Connect to 802.1x Enterprise WiFi on Raspberry Pi
2026-07-09T11:38:52.933499148Z [err]  2026-07-09 11:38:52,909 INFO Saved: How to Integrate Bonusly Digital Signage with Optisigns
2026-07-09T11:38:52.933505298Z [err]  2026-07-09 11:38:52,913 INFO Saved: How to use Remote Command Execution - Windows/Linux
2026-07-09T11:38:52.933508338Z [err]  2026-07-09 11:38:52,901 INFO Saved: How to Perform Mass Provisioning with OptiSigns
2026-07-09T11:38:52.933518278Z [err]  2026-07-09 11:38:52,902 INFO Saved: Introduction
2026-07-09T11:38:52.933609267Z [err]  2026-07-09 11:38:52,915 INFO Saved: How to Use Weather Apps Based on Device Location
2026-07-09T11:38:52.933618687Z [err]  2026-07-09 11:38:52,920 INFO Saved: How to set up SAML 2.0 with OptiSigns and Google Workspace
2026-07-09T11:38:52.933625927Z [err]  2026-07-09 11:38:52,925 INFO Saved: How to set up SAML 2.0 with OptiSigns and OneLogin(Shibboleth)
2026-07-09T11:38:52.934751003Z [err]  2026-07-09 11:38:52,932 INFO Saved: How to set up SAML 2.0 with OptiSigns and OneLogin
2026-07-09T11:38:52.947402847Z [err]  2026-07-09 11:38:52,945 INFO Saved: How to Set Up SAML 2.0 with OptiSigns and MS Entra ID (formerly Azure AD)
2026-07-09T11:38:52.954135749Z [err]  2026-07-09 11:38:52,949 INFO Saved: SAML Integration Strategies & Best Practices
2026-07-09T11:38:52.954140949Z [err]  2026-07-09 11:38:52,950 INFO Saved: Map View & Screen Location settings
2026-07-09T11:38:52.954145339Z [err]  2026-07-09 11:38:52,952 INFO Saved: How to "unpin" OptiSigns app on your Managed Android Stick Player
2026-07-09T11:38:52.954150439Z [err]  2026-07-09 11:38:52,953 INFO Saved: Add 1 or multiple assets to many playlists at the same time
2026-07-09T11:38:52.961047250Z [err]  2026-07-09 11:38:52,959 INFO Saved: How to set up SAML 2.0  with OptiSigns and Okta
2026-07-09T11:38:52.974580124Z [err]  2026-07-09 11:38:52,967 INFO Saved: How to Use OptiSigns' Template & Designer to Make Your Digital Signs in Minutes
2026-07-09T11:38:52.974587023Z [err]  2026-07-09 11:38:52,970 INFO Saved: How to approve OptiSigns as Enterprise App on Microsoft Azure (for Power BI, Calendar, etc. access)
2026-07-09T11:38:52.974591653Z [err]  2026-07-09 11:38:52,973 INFO Saved: How to set up Audit Log for your account
2026-07-09T11:38:52.981256376Z [err]  2026-07-09 11:38:52,977 INFO Saved: How to set up Monitoring Alert feature 
2026-07-09T11:38:52.987362975Z [err]  2026-07-09 11:38:52,985 INFO Saved: How to use the Web Scripting App
2026-07-09T11:38:52.988926458Z [err]  2026-07-09 11:38:52,987 INFO Saved: Adjust the GPU memory on the Raspberry Pi
2026-07-09T11:38:52.990391861Z [err]  2026-07-09 11:38:52,988 INFO Saved: Resolve Autostart issues on your Android TV devices
2026-07-09T11:38:52.990397661Z [err]  2026-07-09 11:38:52,989 INFO Saved: Install/Update OptiSigns player on RPi via script
2026-07-09T11:38:52.996623369Z [err]  2026-07-09 11:38:52,992 INFO Saved: How to enable SSH for your Raspberry Pi
2026-07-09T11:38:52.996628289Z [err]  2026-07-09 11:38:52,996 INFO Saved: How to use Live TV with Ads App
2026-07-09T11:38:52.998464278Z [err]  2026-07-09 11:38:52,997 INFO Saved: Multi-select assets in Files/Assets view
2026-07-09T11:38:52.999866692Z [err]  2026-07-09 11:38:52,999 INFO Saved: Clean install of OptiSigns Player on Windows
2026-07-09T11:38:53.001221116Z [err]  2026-07-09 11:38:53,000 INFO Saved: How to move screen to other team
2026-07-09T11:38:53.002962725Z [err]  2026-07-09 11:38:53,002 INFO Saved: How to mass deploy OptiSigns on Raspberry Pi devices
2026-07-09T11:38:53.009858796Z [err]  2026-07-09 11:38:53,005 INFO Saved: How to install OptiSigns as Screensaver on Roku
2026-07-09T11:38:53.012337808Z [err]  2026-07-09 11:38:53,011 INFO Saved: How to mix playlists and maintain screen time share with OptiSigns Content Rotation App
2026-07-09T11:38:53.015981185Z [err]  2026-07-09 11:38:53,014 INFO Saved: Advanced: Enforce SSO login for your account
2026-07-09T11:38:53.018173290Z [err]  2026-07-09 11:38:53,016 INFO Saved: How to allow the OptiSigns app to access local storage on a Fire Stick
2026-07-09T11:38:53.020152787Z [err]  2026-07-09 11:38:53,019 INFO Saved: How to use YouTube Playlist with OptiSigns
2026-07-09T11:38:53.028771998Z [err]  2026-07-09 11:38:53,023 INFO Saved: Billing: How Do I Change my Subscription Plan?
2026-07-09T11:38:53.030424339Z [err]  2026-07-09 11:38:53,029 INFO Saved: Custom Branding Settings
2026-07-09T11:38:53.036712596Z [err]  2026-07-09 11:38:53,033 INFO Saved: Advanced: Custom Domain mapping
2026-07-09T11:38:53.037954691Z [err]  2026-07-09 11:38:53,036 INFO Saved: How to manually install & activate OptiSigns AI Add-on on Linux or Raspberry Pi
2026-07-09T11:38:53.040662830Z [err]  2026-07-09 11:38:53,038 INFO Saved: How to run OptiSigns AI Add-on on start up in Windows
2026-07-09T11:38:53.050699595Z [err]  2026-07-09 11:38:53,044 INFO Saved: Audience Intelligence (AI Camera) FAQs
2026-07-09T11:38:53.050704975Z [err]  2026-07-09 11:38:53,049 INFO Saved: Advanced: Proof of Play (or Playback report)
2026-07-09T11:38:53.051969620Z [err]  2026-07-09 11:38:53,050 INFO Saved: Pre-configure Wi-Fi with OptiSigns devices
2026-07-09T11:38:53.051974190Z [err]  2026-07-09 11:38:53,051 INFO Saved: How does pre-configured devices labeled in shipping package?
2026-07-09T11:38:53.058714182Z [err]  2026-07-09 11:38:53,054 INFO Saved: Advanced: How to Install & Activate OptiSigns Remote Agent on Windows
2026-07-09T11:38:53.072426843Z [err]  2026-07-09 11:38:53,069 INFO Saved: Remotely Control and Command OptiSigns Devices
2026-07-09T11:38:53.072430623Z [err]  2026-07-09 11:38:53,071 INFO Saved: How to Enable/Disable Auto Update for OptiSigns app on Fire TV
2026-07-09T11:38:53.079697529Z [err]  2026-07-09 11:38:53,074 INFO Saved: Advanced: How to Manually Install & Activate OptiSigns Remote Agent on Linux or Raspberry Pi
2026-07-09T11:38:53.079701619Z [err]  2026-07-09 11:38:53,076 INFO Saved: How to Use USB HUB Adaptor Connect to Your Fire Stick
2026-07-09T11:38:53.079705269Z [err]  2026-07-09 11:38:53,078 INFO Saved: How to Change Time Zone on Your Raspberry Pi device
2026-07-09T11:38:53.085145327Z [err]  2026-07-09 11:38:53,080 INFO Saved: How To Connect To WiFi For Raspberry Pi
2026-07-09T11:38:53.091078008Z [err]  2026-07-09 11:38:53,089 INFO Saved: OptiSigns Side Menu Options
2026-07-09T11:38:53.092674819Z [err]  2026-07-09 11:38:53,091 INFO Saved: How to Factory Reset Your Fire Stick device 
2026-07-09T11:38:53.095596556Z [err]  2026-07-09 11:38:53,093 INFO Saved: How to Clear Cache on Your Fire Stick device
2026-07-09T11:38:53.096243899Z [err]  2026-07-09 11:38:53,094 INFO Saved: How to Change Time Zone on Your Fire Stick device
2026-07-09T11:38:53.099066316Z [err]  2026-07-09 11:38:53,097 INFO Saved: How to uninstall/reinstall OptiSigns app from your Fire Stick device
2026-07-09T11:38:53.100380361Z [err]  2026-07-09 11:38:53,099 INFO Saved: How to Update Fire TV OS to latest version
2026-07-09T11:38:53.106470861Z [err]  2026-07-09 11:38:53,102 INFO Saved: How to Set up an Instagram Business/Creator account
2026-07-09T11:38:53.106475211Z [err]  2026-07-09 11:38:53,103 INFO Saved: Difference between Instagram & Instagram Business App
2026-07-09T11:38:53.106478691Z [err]  2026-07-09 11:38:53,105 INFO Saved: How to use Overlay layers with OptiSigns
2026-07-09T11:38:53.130280796Z [err]  2026-07-09 11:38:53,121 INFO Saved: Edit Screen: What does each option do?
2026-07-09T11:38:53.130289275Z [err]  2026-07-09 11:38:53,124 INFO Saved: Whitelist OptiSigns IP addresses & ports
2026-07-09T11:38:53.130294515Z [err]  2026-07-09 11:38:53,128 INFO Saved: Amazon Fire Stick and security considerations
2026-07-09T11:38:53.136572403Z [err]  2026-07-09 11:38:53,134 INFO Saved: Advanced Security: Managing User Roles
2026-07-09T11:38:53.138029456Z [err]  2026-07-09 11:38:53,136 INFO Saved: There's no sounds output for my Raspberry Pi
2026-07-09T11:38:53.147741624Z [err]  2026-07-09 11:38:53,144 INFO Saved: Folder Level Permissions
2026-07-09T11:38:53.147744834Z [err]  2026-07-09 11:38:53,145 INFO Saved: Organizing your files, assets, playlists and schedules by using Folders
2026-07-09T11:38:53.149060739Z [err]  2026-07-09 11:38:53,148 INFO Saved: How to Create and Use Nested Playlists
2026-07-09T11:38:53.155018830Z [err]  2026-07-09 11:38:53,153 INFO Saved: How to set an asset to Live or Expire at specific time
2026-07-09T11:38:53.161035851Z [err]  2026-07-09 11:38:53,156 INFO Saved: How to re-encode video files for better compatibility on your devices
2026-07-09T11:38:53.161043651Z [err]  2026-07-09 11:38:53,158 INFO Saved: Roku Release Notes & Limitation
2026-07-09T11:38:53.161047931Z [err]  2026-07-09 11:38:53,160 INFO Saved: How to change Billing information
2026-07-09T11:38:53.163040278Z [err]  2026-07-09 11:38:53,161 INFO Saved: My image, content are bleeding off the screens with Windows, Linux, Mac, Raspberry Pi app (need screen calibration)
2026-07-09T11:38:53.164334903Z [err]  2026-07-09 11:38:53,163 INFO Saved: Assign Default Content for Schedules
2026-07-09T11:38:53.170365143Z [err]  2026-07-09 11:38:53,167 INFO Saved: How to install OptiSigns as channel/app on Roku
2026-07-09T11:38:53.172200542Z [err]  2026-07-09 11:38:53,171 INFO Saved: Video codec or video playback issues
2026-07-09T11:38:53.178354420Z [err]  2026-07-09 11:38:53,174 INFO Saved: How to use the Atlassian JIRA app
2026-07-09T11:38:53.178360940Z [err]  2026-07-09 11:38:53,176 INFO Saved: How to display content inside websites that require login?
2026-07-09T11:38:53.178364420Z [err]  2026-07-09 11:38:53,176 INFO Saved: Adjusting social, news wall speeds
2026-07-09T11:38:53.180589015Z [err]  2026-07-09 11:38:53,179 INFO Saved: My image, content are bleeding off the screens with Fire TV (need screen calibration)
2026-07-09T11:38:53.187180249Z [err]  2026-07-09 11:38:53,185 INFO Saved: Working with Teams and Security Levels
2026-07-09T11:38:53.190236954Z [err]  2026-07-09 11:38:53,188 INFO Saved: Windows
2026-07-09T11:38:53.190241544Z [err]  2026-07-09 11:38:53,189 INFO Saved: PowerPoint Transition and Animation effect
2026-07-09T11:38:53.195891188Z [err]  2026-07-09 11:38:53,192 INFO Saved: PowerPoint Resolution, Size for use with Digital Signage
2026-07-09T11:38:53.195894838Z [err]  2026-07-09 11:38:53,193 INFO Saved: Stretch your images, document - Stretch vs Fit vs Zoom your content
2026-07-09T11:38:53.195897678Z [err]  2026-07-09 11:38:53,195 INFO Saved: How to create a scrolling strip / bars
2026-07-09T11:38:53.203381092Z [err]  2026-07-09 11:38:53,202 INFO Saved: How to Create and Use the Split Screen App
2026-07-09T11:38:53.203384492Z [err]  2026-07-09 11:38:53,203 INFO Saved: How Can I Remove/Delete Uploaded Files or Assets?
2026-07-09T11:38:53.205011093Z [err]  2026-07-09 11:38:53,203 INFO Saved: How to start OptiSigns automatically when devices boot up
2026-07-09T11:38:53.206299588Z [err]  2026-07-09 11:38:53,205 INFO Saved: Can I Disable the Download Button for Assets?
2026-07-09T11:38:53.211788315Z [err]  2026-07-09 11:38:53,207 INFO Saved: How to Install an APK file on your Fire TV
2026-07-09T11:38:53.211794295Z [err]  2026-07-09 11:38:53,207 INFO Saved: Does OptiSigns offer Non-profit/Education discount?
